Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
BudBoss,Drugs/Cannabis/Weed,112g (4oz/QP) Choice of BudBoss' Strains (AAA+),*** You choose any strain(s) you would like.  Must be in 1oz incrmenents ***  Worldwide Standard shipping is FREE.  Tracked Shipping as shown in the listing.  STRAINS CURRENTLY AVAILABLE: AK47 K ...,3.5055006199999994 BTC,Canada,Worldwide,4.637/5,Average price may be skewed outliar > .5 BTC found
elchako0705,Drugs/Cannabis/Weed,JACK HERER / 5 GR. / COFFEESHOP BOMB / FREE SHIPPING / ONLY FE,Frischer Neuer Batch  Schöne Buds Schön Fruchtig und Herb. Direkt vom Coffeeshop Zulieferer. ! A+++ Qualität,0.28587600900000004 BTC,Germany,Germany,4.66/5,
CannaXpress000,Drugs/Cannabis/Weed,1 HP OG Master Kush,OG Master Kush (OGMK) is an indica dominant bud. It is a cross between Hindu Kush and Skunk (both indicas). OG Master is similar to Blue Dream in that it provides a full body relaxation along with so ...,6.284565355897435 BTC,USA,USA,4.99/5,Average price may be skewed outliar > .5 BTC found
GoombaShop,Drugs/Cannabis/Weed,448g 1LB Sour Diesel Organic California Outdoor,This text will be the same on all listings for this strain.  See other listings for more pictures (only able to post 1 pic per listing)  Just picked this up since the Rockstar is finally almost gon ...,8.177840445833334 BTC,USA,USA,4.97/5,Average price may be skewed outliar > .5 BTC found
bestaussiegear,Drugs/Cannabis/Weed,7g Weed - Best Price & Fast Shipping,7g of Quality Weed. FE is Required.  We dispatch orders daily. All Orders are sent within 24 hours via Express Post. Place your order by 12:00pm EST to Guarantee Same Day Delivery - We normally acc ...,0.2872027559016395 BTC,Australia,Australia,4.944/5,
MrCronk,Drugs/Cannabis/Weed,MrCronk's Farmery 1000g HIGHGRADE DUTCH SOUR DIESEL w NDD;),Great sour diesel with rapid delivery,52.55490480846153 BTC,UK,Worldwide,4.944/5,Average price may be skewed outliar > .5 BTC found
HerbalRemedy,Drugs/Cannabis/Weed,2oz OG Kush  Hydro,**FULL ESCROW** A legendary strain  and for good reasons.   Genetics are heavy indica  with effects on the sativa side. With roots from Southern California  she has made her way above the boarder  ...,1.5560981388372093 BTC,Canada,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
Sun-tzu,Drugs/Cannabis/Weed,1 pound of ICELAND (OUTDOOR),Nice sweet smelling nugs  frosty looking and has bright green color. you cant beat this price!,6.765632210909092 BTC,USA,usa only,5.00/5,
blow,Drugs/Cannabis/Weed,Q.P. (113G) Bubba Kush - AA+,Strain: Bubba Kush Type: Indica THC %: 20-25% Grown: Indoor  4 ounces = 112 grams  Bubba Kush is a sweet  earthy indica strain with genetics traced back to the Hindu Kush.    HIGH QUALITY W ...,2.5067598242857136 BTC,Canada,Worldwide,4.83/5,
WellnessCenter,Drugs/Cannabis/Weed,3.5 g's of Bubba kush A+ Green House Dank!,Bubba Kush is a sweet  earthy indica strain with genetics traced back to the Hindu Kush landrace strains. Since finding its way to U.S. shores  the lineage of this nearly pure indica strain becomes m ...,0.11946860285714286 BTC,USA,World Wide,5.00/5,
NW-Nugz,Drugs/Cannabis/Weed,1 QP (114g) from NW Nugz top shelf Weed :-),Any One QP you choose from our listing of QPs.  Please let us know what you want in the order. We currently have 2 updated lists. They are kept here: http://lacbzxobeprssrfx.onion/index.php/topic ...,3.3175965619354835 BTC,USA,USA,5.00/5,Average price may be skewed outliar > .5 BTC found
MrCronk,Drugs/Cannabis/Weed,2.2g HIGHGRADE LEMON SESS SPECIAL w NDD;),Great highgrade lemon smelling strong sess weed The real deal,0.15305990594594593 BTC,Undeclared;),Worldwide,4.944/5,
bcdirect,Drugs/Cannabis/Weed,1/2 OZ Jack Haze AAA  ***Free Shipping Worldwide!***,Top quality AAA indoor sativa dominant 1/2 OZ Jack Haze AAA BC BUD ***Free Shipping Worldwide!***  A cross between Jack Herer and Super Silver Haze  this is a sativa-dominant hybrid. Energizing an ...,0.46917686125 BTC,Canada,Free Worldwide!!,4.860/5,
QualityHydroBuds,Drugs/Cannabis/Weed,G13 HYDRO 7g  *Free Post*,*G13* FREE POST.  -POTENT HIGH GRADE MEDICINAL MARIJUANA  The original G13 pheno is now listed  stronger and more resinous than previous. This strain pure G13 is very powerful  top shelf.  Her ...,0.4111536315555557 BTC,Australia,,4.96/5,
GoingPostal,Drugs/Cannabis/Weed,28 Grams (1 OZ) Jack Max,28 Grams (1 OZ) Jack Max - B.C. AAA+  This tasty sativa dominate hybrid will be the perfect start to your day.  Crossing Jack Herrer and Island Max (Similar to G-13)  this sweet strain will be the  ...,1.1404471345238096 BTC,Canada,Worldwide (Except Australia and the USA),4.964/5,
Drugs4you,Drugs/Cannabis/Weed,Haze  FREE SHIPPING / 0.25oz / 7.09g,This is our offer for very nice 'haze' !  with FREE SHIPPING  Of course  our products are all tested and free of additives. They will be shipped vacuum sealed! With this premium weed  this precauti ...,0.44226610767999996 BTC,Germany,Worldwide,4.967/5,
AfriKanSun,Drugs/Cannabis/Weed,MamaKa Swazi 2g,MamaKA Swazi  the iconic Southern African sativa  grown for centuries in the Kingdom of Swaziland.  Mamaka  meaning the daughter of Swaziland  is a pure outdoor sativa. Grown in the fertile African  ...,0.031342825 BTC,SouthAfrica,Worldwide,4.83/5,
NXTLEVEL,Drugs/Cannabis/Weed,*** 1 LB Blue Dream $2700 ***,Blue Dream indoors (455 grams)  You know this one  classic blue dream flavor. Hearty sweet aroma opens up as you open the bag. This is a heavy sativa dominant strain  so get outside and have some f ...,11.11737974857143 BTC,USA,,~4/5,Average price may be skewed outliar > .5 BTC found
oliver201,Drugs/Cannabis/Weed,112g limon kush,112g AAA,2.9993455428571427 BTC,Canadagb france ireland ,uk gb france ireland ,4.93/5,
laWnmoWermAn,Drugs/Cannabis/Weed,Lower Grade - 1/4 ounce - Ship to USA,This is a lower grade than I normally carry.  My growroom got too hot this summer and the plants suffered some.  The buds are less dense than normal and the strength was affected some.,0.1794485116417911 BTC,USA,USA,4.983/5,
Cloud9Products,Drugs/Cannabis/Weed,"1 LB Outdoor ""Girl Scout Cookie""","Hybrid strain  Pictures are of actual product  Outdoor Grown  Dense nugs with an orange tint and hairs  Long lasting ""lift""  Amazing taste displaying hints of fruit  Excellent for promoti ...",7.835976744600001 BTC,USA,United States,4.89/5,Average price may be skewed outliar > .5 BTC found
MrCronk,Drugs/Cannabis/Weed,MrCronk's Farmery 125g HIGHGRADE DUTCH SOUR DIESEL w NDD;),Great sour diesel with rapid delivery,7.270510197368421 BTC,UK,Worldwide,4.944/5,Average price may be skewed outliar > .5 BTC found
Mountain,Drugs/Cannabis/Weed,"1/2oz (14.2g) ""OP""  mystery sativa leaning strain  Organic  Humidor Cured",Read this entire listing:  YOUR SECURITY & SAFETY DEPENDS ON FOLLOWING MY INSTRUCTIONS   This is a listing for 1/2th oz (14.2g) of what I thought was Optimus Prime  but is too sativa leaning to be ...,0.571658158 BTC,USA,USA,4.994/5,
weed4you,Drugs/Cannabis/Weed,20g of OG Kush #18,(You can stack up to 2*20g for one postage)  We give allways overweight  more you order  more overweight.  Classification: Indica-dominant Parents: Chemdawg x OG Chem Medical Uses: Pain relief  ...,0.9629523847058818 BTC,EU,Worldwide except Australia,4.998/5,Average price may be skewed outliar > .5 BTC found
opiateconnect,Drugs/Cannabis/Weed,Kotton Candy kush 3.5G,Full escrow on all my Cannabis products. Top-shelf quality. I have some very nice Kotton Candy Kush that smokes great. This listing is for 3.5G Kotton Candy Kush.,0.17340955900900895 BTC,USA,USA,4.92/5,
COFFEESHOP24,Drugs/Cannabis/Weed,10g ☮ Lemon Haze ☮,Lemon Haze  Sativa  Flavors: Lemon  Citrus  Sweet  High: Happy  Euphoric  Uplifted  Description: Lemon Haze has been characterized as smelling of fresh peeled lemon slices with a similar t ...,0.457626496923077 BTC,Netherlands,Worldwide,4.99/5,
gene001,Drugs/Cannabis/Weed,G-Star 14 grams,G-Star 14 grams ( Half OZ )  Professionally homegrown weed  bringing a little bit better quality than usual with this batch of bud! This is fresh  has a sweet citrus aroma with earthly undertones. ...,0.6567909047058823 BTC,USA,,4.892/5,
zeltasgarden,Drugs/Cannabis/Weed,1/2th Super Lemon Haze Top Shelf,Super Lemon Haze is currently my best strand. I just got a new batch in as of Feb 11th and it's fantasitc. It might be more expensive than other strands but it is well worth it.   It's no wonder th ...,0.6391629953773584 BTC,USA,USA,4.848/5,
InsideTheWhale,Drugs/Cannabis/Weed,ORGANICALLY GROWN ALBANIAN HAZE - SKUNK MARIJUANA! BEST PRICE IN UK! - 9oz (252g) - $1920,=>=>=>=>=>=>=>=>=>=>=>  NOW AVAILABLE TO ORDER!!!! <=<=<=<=<=<=<=<=<=<=  =>=>=>=> ORGANICALLY GROWN ALBANIAN HAZE SKUNK MARIJUANA!<=<=<=<=<=<=<=  =>=>=>=>=>=> UNBEATABLE PRICE FOR GREAT ORGANIC S ...,6.993438812098768 BTC,UK,UK,4.946/5,Average price may be skewed outliar > .5 BTC found
Drugs4you,Drugs/Cannabis/Weed,Haze  FREE SHIPPING / 0.25oz / 7.09g (FE required  with DISCOUNT),This is our offer for very nice 'haze' !  with FREE SHIPPING  Of course  our products are all tested and free of additives. They will be shipped vacuum sealed! With this premium weed  this precauti ...,0.4171054552500001 BTC,Germany,Worldwide,4.967/5,
cannabis-king,Drugs/Cannabis/Weed,Cheese x Haze 5gr,Cheese x Haze,0.26573854527777785 BTC,Germany,,4.924/5,
DrWhite,Drugs/Cannabis/Weed,High Grade Commercial (10 Pounds),WELCOME TO DR.WHITE'S!  PLEASE READ MY PROFILE BEFORE ASKING ANY QUESTION(S)... I COVER MANY TOPICS THERE.  Description:  My famous fluffy High Grade Commercial now available in 10 Pound orders ...,40.101439073274335 BTC,USA,,4.95/5,Average price may be skewed outliar > .5 BTC found
COFFEESHOP24,Drugs/Cannabis/Weed,5g ☮ Orange Bud ☮,Orange Bud  Hybrid  Flavors: Orange  Sweet  Citrus  High: Creative  Euphoric  Relaxed  Happy  Description: First bred in 1980s by Dutch Passion  Orange Bud cannabis strain is a combinatio ...,0.23840227076923076 BTC,Netherlands,Worldwide,4.99/5,
Bisto,Drugs/Cannabis/Weed,14g Cheese or California orange,This listing is for 14g of icky icky stinky cheese or California Orange bud,0.77760267 BTC,UK,UK,4.935/5,
PsyShop,Drugs/Cannabis/Weed,NORTHERN LIGHTS 5 GRAM!,NORTHERN LIGHTS 5 GRAM!   We will send this item vacuum sealed as always when something might smell. Delivered discrete.  More info later..,0.30806905625000014 BTC,Sweden,EUROPE,4.90/5,
weednation,Drugs/Cannabis/Weed,1LB FIRE Blackberry Kush Indoor Medical Marijuana AAAA+++ UPDATED (3/17/15),FE ONLY!   Bulk discounts are available  Direct transfer discount is listing price minus 100$ (2700). PM me for details.   please read the store rules on my profile page BEFORE ordering!      ...,11.321786298461538 BTC,USA,USA,4.99/5,Average price may be skewed outliar > .5 BTC found
TheBudReaper,Drugs/Cannabis/Weed,3.5 grams High Grade Cannabis,3.5 grams High Grade Cannabis,0.1996164016504854 BTC,Australia,Australia,5.00/5,
DrWhite,Drugs/Cannabis/Weed,High Grade Commercial 1 OZ (30 Grams),1OZ. (30 grams) of fluffy High Grade Commercial with few seeds. It is pretty green as you can see in the picture and is covered with brown and orange hairs. The THC level is great and could easily pa ...,0.5501212341237107 BTC,USA,USA,4.95/5,
dankbudz,Drugs/Cannabis/Weed,1/4 LB 114 grams,1/4 LB 114 grams any strain listed,2.1105820807692313 BTC,Torland,,5.00/5,
moramaru,Drugs/Cannabis/Weed,Super Silver Haze Organic top-end medical quality 1g,Super Silver Haze Organic top-end medical quality 1g  - Name: Super Silver Haze Organic - From: Holland - Grade: A+++++ - Genetics: Skunk x Northern Lights x Haze.  - Effect: Great energetic bo ...,0.07543587083333336 BTC,Germany Norway  Finland,EU except Sweden  Norway  Finland,4.941/5,
COFFEESHOP24,Drugs/Cannabis/Weed,10g ☮ Amnesia Haze ☮,Amnesia Haze  Sativa  Flavors: Lemon  Citrus  Sweet  High: Euphoric  Happy  Uplifted  Description: With earthy flavors of lemons and citrus  Amnesia Haze is a perfect strain to start your ...,0.45709131250000007 BTC,Netherlands,Worldwide,4.99/5,
Barterer,Drugs/Cannabis/Weed,2oz - PurePowerPlant [Grade AA+ Weed],When working with us  we guarantee:  √ Consistent quality service √ Potent and high grade product  √ Top stealth techniques √ Fast dispatch and quick shipping √ Active communication channel   ...,1.7202268 BTC,Canada Europe  Asia  Oceania,USA  Europe  Asia  Oceania,5.00/5,
Bisto,Drugs/Cannabis/Weed,Copy of Stoner Chocolates x4,These chocolates are amazing made with smooth chocolate and each one has around 10-13g of Bud infused Chocolate.  You will get 4 chocolates i only need half and i let it melt in my mouth as the flav ...,0.1603497352 BTC,UK,UK,4.935/5,
t3h_fonz,Drugs/Cannabis/Weed,Purple Trainwreck A+++ 7g,All packages Double Vac Sealed  Guaranteed delivery. Mylar too.  Listing Price is the Shipping  stealth is Tracking as always.  A sweet smelling bud grown indoors in the South  Best strain I have ...,0.31356303928571433 BTC,USA,United States,4.95/5,
cannabis-king,Drugs/Cannabis/Weed,Power plant  25 gr,25 gr POWER PLANT  This unique  South African strain has just a touch of Indica  that made the plant higher yielding  with bigger and fatter buds.Power Plant is rich in THC and delivers a formidabl ...,0.8614302632520324 BTC,Germany,EU,4.924/5,
COFFEESHOP24,Drugs/Cannabis/Weed,500g ☮ White Widow ☮ Bulk,White Widow  Hybrid  Flavors: Earthy  Woody  Pungent  High: Relaxed  Uplifted  Happy  Description: Among the most famous strains worldwide is White Widow  a balanced hybrid first bred in  ...,11.739114623076922 BTC,Netherlands,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
COFFEESHOP24,Drugs/Cannabis/Weed,50g ☮ Blueberry ☮,Blueberry  Indica  Flavors: Blueberry  Berry  Sweet  High: Relaxed  Happy  Sleepy  Description: A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after cl ...,1.5893485007692307 BTC,Netherlands,Worldwide,4.99/5,
MoodyMayhem,Drugs/Cannabis/Weed,Ogre Kush 1 lb (456g) || Medical Grade Greenhouse || Hand-Trimmed,This weed smells very strong of lemons and citrus fruits. It is fresh and very sticky. The Ogre strain comes from a cross between Master Kush and Bubba Kush  so the high is intense. The nugs are very ...,9.141539643095241 BTC,USA,USA,4.87/5,Average price may be skewed outliar > .5 BTC found
DutchMagic,Drugs/Cannabis/Weed,Amnesia Haze - 5g,Our Amnesia Haze very potent. The strain is a full 12-week flowering Haze variant; be prepared to lose your memory!!  1. We require all orders to be finalized early before we ship your order!   2 ...,0.224510284262295 BTC,EU,Worldwide except USA/Israel/NL,4.937/5,
moramaru,Drugs/Cannabis/Weed,White Widow Organic top/end medical quality 20g,White Widow Organic top/end medical quality 20g  Name: White Widow Organic From:  Holland Grade: A++++ Genetics: Brazilian x South Indian Effects:  A relaxing indica feeling that turns into a b ...,1.1938753936986304 BTC,Germany Norway  Finland,EU except Sweden  Norway  Finland,4.941/5,Average price may be skewed outliar > .5 BTC found
DutchMagic,Drugs/Cannabis/Weed,White Widow - 250g,This is a very potent and powerful variety of cannabis  available on the top of all Dutch coffee shop menus.  The buzz is powerful and energetic yet social  be prepared for a strong high.  You will n ...,7.409269979107141 BTC,EU,Worldwide except USA,4.937/5,Average price may be skewed outliar > .5 BTC found
Oase,Drugs/Cannabis/Weed,25 Gr Critical Jack Bio,This is the Cup Winner!   25 Gr. Critical Jack from the Grower. AAA Grade Coffee Shop Quality.  All orders will be shipped for free!    This will take you to cloud 9 ;-)  Impress your friends ...,1.200147619358974 BTC,Germany,EU,4.99/5,
bcbuds,Drugs/Cannabis/Weed,1/4lb (112g) Medical-Grade Indoor Weed - AAA Strain,FE REQUIRED  This is medical-grade marijuana that will not disappoint. We will provide one of our very popular AAA strains to you.  About the Strain:  Since we use multiple farmers our product  ...,3.409200490392158 BTC,Canada,,4.91/5,Average price may be skewed outliar > .5 BTC found
sweettganjababe,Drugs/Cannabis/Weed,!!! THC BOMB !!! 14,new batch of thc bomb    SWEETT GANJA BABE IS ON !! THC BOMB !!! 14 (medical grade)  HEY ALL NEW STRAIN THC BOMB ON BOARD   THC BOMB LOOKS AND SMELLS AWSOME  VERY SMOOTH ON THE THROAT AND HAS ...,0.719023603220339 BTC,Australia,australia,4.962/5,
TheHappyGuy,Drugs/Cannabis/Weed,1oz Blue Dream,Blue Dream 1oz unit FE $195   I swear to you...this is Blue Dream in HD!,0.7275277530769231 BTC,USA,USA,4.956/5,
whiteyford,Drugs/Cannabis/Weed,Custom for MrSoprano,2 neb,1.099496575 BTC,Canada,,4.947/5,
COFFEESHOP24,Drugs/Cannabis/Weed,250g ☮ Blueberry ☮ Bulk,Blueberry  Indica  Flavors: Blueberry  Berry  Sweet  High: Relaxed  Happy  Sleepy  Description: A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after cl ...,6.555629736923077 BTC,Netherlands,Worldwide,4.99/5,
